filename,scene_graph,knowledge_base
CsdehGlWgAAv2HI,man. person. hair. jacket,"male adult human. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). protein filament that grows from follicles found in the dermis, or skin. clothing for the upper body. 45th president of the United States (2017–2021). 45th president of the United States (2017–2021)"
CUsbUT2,head of man . hair on head . man has head . man has hair . man wearing shirt ,"garment for the upper body. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. male adult human. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. male adult human. male adult human. female adult human. organ that detects sound; organ of hearing and balanc. vertical structure, usually solid, that defines and sometimes protects an area. garment for the upper body. fictional character on The Big Bang Theory. Fictional character in The Big Bang Theory. Fictional character in The Big Bang Theory. fictional character on The Big Bang Theory"
CuvsjyLWgAAXnz9,man wearing shirt . hair on head . head of man . face of man . man has head . man has hair . man has face . man wearing glass ,"male adult human. protein filament that grows from follicles found in the dermis, or skin. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. protein filament that grows from follicles found in the dermis, or skin. garment for the upper body. part of the body at the front of the head. part of the body at the front of the head. male adult human. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. Peerage person ID=163280. 45th president of the United States (2017–2021)"
CVf4HDmWcAE_Q4m,man has hair . man wearing jacket . man wearing glass . man wearing shirt . hair on head . face of man . man has face . man has head . glass on man . head of man ,"male adult human. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. male adult human. clothing for the upper body. amorphous solid that exhibits a glass transition when heated towards the liquid state. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. garment for the upper body. American politician. 45th president of the United States (2017–2021)"
CVjO3Sz,letter. star,grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. astronomical object consisting of a luminous spheroid of plasma held together by its own gravity. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing
CvOg2va,nose of man . man has nose . hair on head ,"organ that smells and facilitates breathing. male adult human. organ that detects light and converts it into electro-chemical impulses in neurons. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. flat, movable structure used to open and close an entrance. first portion of the alimentary canal that receives food. garment for the upper body. organ that detects light and converts it into electro-chemical impulses in neurons. flat, movable structure used to open and close an entrance. organ that smells and facilitates breathing. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. part of the body at the front of the head"
CW7tNBQU0AIADyq,letter on logo ,grapheme in an alphabetic system of writing. graphic mark or emblem commonly used by commercial enterprises. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing
CwHWOROW8AA09nd,hat on man . face on clock . man wearing hat . man wearing tie . person wearing hat . man has hand . hand of man ,"shaped head covering, having a brim and a crown, or one of these. part of the body at the front of the head. male adult human. male adult human. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). male adult human. shaped head covering, having a brim and a crown, or one of these. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. extremity at the end of an arm or forelimb. shaped head covering, having a brim and a crown, or one of these. object or device that emits light"
CWxcn8cWcAEOWqO,nose of woman . nose on face . mouth of woman . eye of woman . face of woman . woman has nose . woman has hair . woman has mouth . woman has eye . woman has face ,"organ that smells and facilitates breathing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. first portion of the alimentary canal that receives food. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. American politician"
CySpKqI,tie near neck . tie on man . man has hair . man has face . man has head . man has neck . man wearing tie . man wearing shirt . man wearing jacket . shirt under jacket . hair on head . face of man . head of man ,"clothing item, traditionally worn by boys and men with dress shirt. male adult human. garment for the upper body. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. clothing for the upper body. 45th president of the United States (2017–2021)"
CZrwNVe,ear of man . face of man . eye of man . head of man . tie on man . nose of man . man has ear . man has face . man has eye . man has head . man has hair . man has nose . man wearing tie . man wearing shirt ,"organ that detects sound; organ of hearing and balanc. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. protein filament that grows from follicles found in the dermis, or skin. clothing item, traditionally worn by boys and men with dress shirt. organ that smells and facilitates breathing. male adult human. male adult human. part of the body at the front of the head. organ that detects sound; organ of hearing and balanc. 45th president of the United States (2017–2021). 45th president of the United States (2017–2021). 45th president of the United States (2017–2021). 45th president of the United States (2017–2021)"
D1uY1Ye,bird on street ,"class of tetrapods. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. class of tetrapods. public thoroughfare in a built environment. garment for the upper body. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. domesticated birds kept by humans for their eggs, meat, or feathers. domesticated birds kept by humans for their eggs, meat, or feathers. garment for the upper body"
D1xG5,man has leg . man wearing boot . man wearing shoe . leg of man ,"type of footwear extending above the ankle joint. footwear. first portion of the alimentary canal that receives food. male adult human. liquid water in the form of droplets that have condensed from atmospheric water vapor and then precipitated. structure whose shape is roughly that of a pyramid in the geometric sense. footwear. grapheme in an alphabetic system of writing. first portion of the alimentary canal that receives food. type of footwear extending above the ankle joint. weight bearing and locomotive anatomical structure, usually having a columnar shape, function as ""extensible struts"". handheld device that amplifies the voice of a speaking person, can be an acoustic megaphone or electronic megaphone. structure whose shape is roughly that of a pyramid in the geometric sense"
D40IF3q,eye of man . eye of boy . boy has hair . boy wearing shirt . mouth of boy . nose of boy . nose on face . ear of boy . face of boy ,"protein filament that grows from follicles found in the dermis, or skin. grapheme in an alphabetic system of writing. young male human. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. garment for the upper body. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. organ that detects light and converts it into electro-chemical impulses in neurons. first portion of the alimentary canal that receives food. organ that smells and facilitates breathing. organ that detects sound; organ of hearing and balanc. part of the body at the front of the head. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing"
D4k0puo,person has head . person has hair . person has hand . person wearing jacket . head of person . hair on head . hand of person ,"part of the body at the front of the head. common name of Homo sapiens, unique extant species of the genus Homo. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). clothing for the upper body. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. protein filament that grows from follicles found in the dermis, or skin. extremity at the end of an arm or forelimb. male adult human"
d5ZqKJ5,nose on face . face has eye . face has nose . face has hair . face has mouth ,"organ that detects light and converts it into electro-chemical impulses in neurons. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. organ that detects light and converts it into electro-chemical impulses in neurons. protein filament that grows from follicles found in the dermis, or skin. first portion of the alimentary canal that receives food. part of the body at the front of the head. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing"
D65y7fq,tree. river. letter,perennial woody plant. perennial woody plant. grapheme in an alphabetic system of writing. perennial woody plant. perennial woody plant. perennial woody plant. perennial woody plant. perennial woody plant. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing
D9Hn7ll,letter on paper ,"grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. thin, flexible material mainly used for writing upon, printing upon, drawing or for packaging. grapheme in an alphabetic system of writing. thin, flexible material mainly used for writing upon, printing upon, drawing or for packaging. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing"
D9Zr2dU,nose of woman . face of woman . mouth of woman . woman has nose . woman has face . woman has mouth . woman has hair ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. organ that smells and facilitates breathing. one-dimensional infinite geometric object. organ that detects sound; organ of hearing and balanc. male adult human. one-dimensional infinite geometric object. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. one-dimensional infinite geometric object. first portion of the alimentary canal that receives food. female adult human. organ that detects light and converts it into electro-chemical impulses in neurons. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. 44th president of the United States, from 2009 to 2017. American politician"
DAJu7lB,glass on man . glass on face . head of woman . letter on sign . man has hair . man has face . man has nose . man wearing glass . sign has letter . hair on head . face of man . woman has head . woman has hair . woman has mouth . nose of man . nose on face . mouth of woman ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. female adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. organ that smells and facilitates breathing. first portion of the alimentary canal that receives food. American politician. 45th president of the United States (2017–2021). American politician"
DB1R0kO,man has face . woman has hair . face of man ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. graphic mark or emblem commonly used by commercial enterprises. protein filament that grows from follicles found in the dermis, or skin. female adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. male adult human. protein filament that grows from follicles found in the dermis, or skin. male adult human. female adult human. part of the body at the front of the head"
DBSMGfC,face of man . man has face . man has hair . man wearing glass . man wearing jacket . jacket on man ,"output device for presentation of information in visual form. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. garment for the upper body. garment for the upper body. male adult human. garment for the upper body. part of the body at the front of the head. male adult human. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. amorphous solid that exhibits a glass transition when heated towards the liquid state. set of shelves, combined into one piece of furniture. clothing for the upper body. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. main character in SpongeBob SquarePants. American politician"
dCBEORM,letter. sign,"grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc."
dcjraqN,nose. letter. hair. face. ear. mouth. eye,"organ that smells and facilitates breathing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. organ that detects sound; organ of hearing and balanc. first portion of the alimentary canal that receives food. organ that detects light and converts it into electro-chemical impulses in neurons. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. 45th president of the United States (2017–2021)"
ddkILbG,window on building . building has window ,"piece of furniture for sitting on. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. vertical structure, usually solid, that defines and sometimes protects an area. shaped head covering, having a brim and a crown, or one of these. clothing for the legs and lower body. opening in a wall, door, roof or vehicle that allows the passage of light. opening in a wall, door, roof or vehicle that allows the passage of light. opening in a wall, door, roof or vehicle that allows the passage of light. opening in a wall, door, roof or vehicle that allows the passage of light. opening in a wall, door, roof or vehicle that allows the passage of light. structure, typically with a roof and walls, standing more or less permanently in one place. fictional character from the Family Guy franchise. fictional character from the Family Guy franchise"
DheGAH3,mouth of man . nose of man . nose on face . eye of man . face of man . ear of man . man has mouth . man has nose . man has eye . man has face . man has ear ,first portion of the alimentary canal that receives food. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). organ that smells and facilitates breathing. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. male adult human. male adult human. grapheme in an alphabetic system of writing
DLr1Uo7,tie near neck . man has hand . arm of man . tree behind fence . tree on hill . man has neck . man has arm . man has hair . man has face . man wearing tie . man wearing jacket . man wearing shirt . fence behind man . rock on hill . face of man ,"clothing item, traditionally worn by boys and men with dress shirt. clothing for the upper body. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. landform that extends above the surrounding terrain. forearm and upper arm together. perennial woody plant. protein filament that grows from follicles found in the dermis, or skin. piece of fabric with a distinctive design, used as a symbol. freestanding structure preventing movement across a boundary. garment for the upper body. extremity at the end of an arm or forelimb. part of the body at the front of the head. national flag of the United States of America"
DmcdsLa,glass on head ,"piece of fabric with a distinctive design, used as a symbol. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. amorphous solid that exhibits a glass transition when heated towards the liquid state. graphic mark or emblem commonly used by commercial enterprises. American politician. communist symbol"
DNwiCOI,tie on neck ,"clothing item, traditionally worn by boys and men with dress shirt. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. part of the body at the front of the head. part of the body at the front of the head. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. grapheme in an alphabetic system of writing. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. item of clothing for the feet. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. American politician"
dOjn3Mo,man has hair . man has head . man wearing tie . face of man . man has face . hair on head . head of man ,"male adult human. furniture or fixture used as a source of light. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body at the front of the head. furniture or fixture used as a source of light. male adult human. furniture or fixture used as a source of light. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. clothing item, traditionally worn by boys and men with dress shirt. clothing item, traditionally worn by boys and men with dress shirt. 45th president of the United States (2017–2021). 45th president of the United States (2017–2021)"
dOr1Ljj,sign on screen . tie on man . box on desk . box on shelf . man has hair . man has head . man has hand . man on screen . man wearing tie . man wearing jacket . head of man . hand of man ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. clothing item, traditionally worn by boys and men with dress shirt. protein filament that grows from follicles found in the dermis, or skin. type of table often used in a school or office setting!. container (usually cuboidal) with at least one roughly rectangular cross-section. male adult human. output device for presentation of information in visual form. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. extremity at the end of an arm or forelimb. clothing for the upper body. output device for presentation of information in visual form"
dPkUsp1,ear of person . face of woman . woman has face . woman has hair . person has hair . person has nose . person wearing jacket . letter on sign . nose of person . nose on face . mouth of person ,"organ that detects sound; organ of hearing and balanc. part of the body at the front of the head. female adult human. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). clothing for the upper body. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. organ that smells and facilitates breathing. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. first portion of the alimentary canal that receives food. female adult human. protein filament that grows from follicles found in the dermis, or skin. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. American politician. American politician and physician. American politician and physician"
DZ2uQ50,man has head . man has hair . man has face . man wearing jacket . man wearing shirt . head of man . hair on head . face of man ,"male adult human. garment for the upper body. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. clothing for the upper body. male adult human. protein filament that grows from follicles found in the dermis, or skin. male adult human. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. garment for the upper body. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. part of the body at the front of the head. Soviet politician, general secretary of the Communist Party of the Soviet Union and premier of the Soviet Union (1878-1953). American politician. Soviet politician, general secretary of the Communist Party of the Soviet Union and premier of the Soviet Union (1878-1953). Soviet politician, general secretary of the Communist Party of the Soviet Union and premier of the Soviet Union (1878-1953)"
dZVtSfm,man has nose . man has face . man has hair . man has mouth . man wearing shirt . nose of woman . nose of man . woman has neck . woman has nose . woman has hair . woman has mouth . woman has face . mouth of woman . face of man . mouth of man . tree behind man . face of woman ,"male adult human. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. organ that smells and facilitates breathing. organ that smells and facilitates breathing. female adult human. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. first portion of the alimentary canal that receives food. garment for the upper body. part of the body at the front of the head. protein filament that grows from follicles found in the dermis, or skin. first portion of the alimentary canal that receives food. perennial woody plant. part of the body at the front of the head. 2016 police killing of a black man in Baton Rouge, Louisiana, United States. man shot and killed by police in Baton Rouge, Louisiana. American politician"
E0JmmKR,shirt has logo . mouth of man . hair on head . head of man . logo on shirt . ear of man . nose of man . arm of man . hand of man . man has mouth . man has head . man has ear . man has nose . man has arm . man has hand . man has face . man wearing shirt . man wearing pant . face of man ,"garment for the upper body. first portion of the alimentary canal that receives food. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. graphic mark or emblem commonly used by commercial enterprises. grapheme in an alphabetic system of writing. organ that detects sound; organ of hearing and balanc. organ that smells and facilitates breathing. forearm and upper arm together. extremity at the end of an arm or forelimb. forearm and upper arm together. extremity at the end of an arm or forelimb. male adult human. piece of furniture with a flat top. part of the body at the front of the head. clothing for the legs and lower body. person who seeks to entertain an audience, primarily by making them laugh. college basketball player (1974–1974) Xavier"
eeuDu6t,hair on head . woman has hair . woman has face ,"extremity at the end of an arm or forelimb. clothing for the upper body. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. male adult human. part of the body at the front of the head. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. protein filament that grows from follicles found in the dermis, or skin. female adult human. American politician"
EhpW75N,image. letter,grapheme in an alphabetic system of writing
EIehYa1,face of man . head of man . hand of man . ear of man . hat on head . hat on man . mouth of man . nose of man . man has face . man has head . man has neck . man has hand . man has ear . man has mouth . man has nose . man wearing hat ,"piece of fabric with a distinctive design, used as a symbol. part of the body at the front of the head. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. grapheme in an alphabetic system of writing. extremity at the end of an arm or forelimb. piece of fabric with a distinctive design, used as a symbol. organ that detects sound; organ of hearing and balanc. shaped head covering, having a brim and a crown, or one of these. first portion of the alimentary canal that receives food. organ that smells and facilitates breathing. extremity at the end of an arm or forelimb. male adult human. organ that detects sound; organ of hearing and balanc. Wikimedia disambiguation page"
eMSADPX,ear of man . mouth of man . face of man . nose of man . man has ear . man has mouth . man has face ,organ that detects sound; organ of hearing and balanc. organ that detects sound; organ of hearing and balanc. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. first portion of the alimentary canal that receives food. clothing for the upper body. part of the body at the front of the head. organ that smells and facilitates breathing. male adult human. male adult human. organ that smells and facilitates breathing
EMshcj9,mouth of woman . woman has mouth . woman has face . eye on face . hair on head . face of woman ,"part of the body at the front of the head. male adult human. weapon using combustion or an explosive charge to propel a projectile. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. common name of Homo sapiens, unique extant species of the genus Homo. male adult human. first portion of the alimentary canal that receives food. protein filament that grows from follicles found in the dermis, or skin. female adult human. organ that detects light and converts it into electro-chemical impulses in neurons. garment for the upper body. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. male adult human. male adult human. Canadian singer. American politician"
Eq9f1cu,eye of man . man has hair . man wearing tie . nose of man . nose on face . hand of man . mouth of man . face of man . man has eye . man has ear . man has nose . man has hand . man has mouth . man has face . man has arm ,"organ that detects light and converts it into electro-chemical impulses in neurons. male adult human. clothing item, traditionally worn by boys and men with dress shirt. organ that detects sound; organ of hearing and balanc. organ that smells and facilitates breathing. protein filament that grows from follicles found in the dermis, or skin. extremity at the end of an arm or forelimb. first portion of the alimentary canal that receives food. part of the body at the front of the head. male adult human. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. forearm and upper arm together. 45th president of the United States (2017–2021)"
Er3pBdJ,man has face . man has hair . face of man ,"male adult human. part of the body at the front of the head. grapheme in an alphabetic system of writing. protein filament that grows from follicles found in the dermis, or skin. 45th president of the United States (2017–2021)"
EsepD5Q,letter,grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing
ET5rdX2,man has hand . man has hair . man wearing tie . man wearing pant . man wearing jacket . tie under jacket . hand of man ,"male adult human. grapheme in an alphabetic system of writing. forearm and upper arm together. clothing item, traditionally worn by boys and men with dress shirt. clothing for the legs and lower body. clothing for the upper body. extremity at the end of an arm or forelimb. extremity at the end of an arm or forelimb. physical structure of a living creature. garment for the upper body. protein filament that grows from follicles found in the dermis, or skin. object or device that emits light. American politician"
EuTcoU6,letter,grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing
